system,path,name,ssId,region,desc,rating,releasedate,developer,publisher,genre,players,3dboxes,physicalmedia,marquees,videos,screenshots,titlescreens,fanarts
atari2600,Boxing (USA).zip,Yes,14084,us,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Brain Games (Europe).zip,Yes,14050,eu,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Brain Games (USA).zip,Yes,14050,us,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Breakout (Europe).zip,Yes,14016,eu,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,"Breakout ~ Breakaway IV (Japan, USA).zip",Yes,14016,"us,jp",Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Bridge (Europe).zip,Yes,137013,eu,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Bridge (USA).zip,,,,,,,,,,,,,,,,,
atari2600,Bridge (USA) (v1.1).zip,Yes,137013,us,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Buck Rogers - Planet of Zoom (Europe).zip,Yes,51192,eu,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Buck Rogers - Planet of Zoom (USA).zip,Yes,51192,us,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Bugs (Europe).zip,Yes,37691,eu,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Bugs (USA).zip,Yes,37691,us,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Bugs Bunny (USA) (Proto 1).zip,Yes,37692,us,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
